# Out-of-window IDs — captured outside the Artemis II mission window
# Skip on future runs

# Run: 2026-05-20T03:05:13.463Z
KSC-20260411-KED01-0253  # 2026-04-11T01:50:54.000Z
KSC-20260411-KED01-0258  # 2026-04-11T01:51:36.000Z
KSC-20260411-KED01-0259  # 2026-04-11T01:52:01.000Z
KSC-20260411-KED01-0263  # 2026-04-11T01:52:44.000Z
KSC-20260411-KED01-0267  # 2026-04-11T01:56:18.000Z
KSC-20260411-KED01-0268  # 2026-04-11T01:56:24.000Z
KSC-20260411-KED01-0270  # 2026-04-11T01:56:26.000Z
KSC-20260411-KED01-0276  # 2026-04-11T01:56:52.000Z
KSC-20260411-KED01-0285  # 2026-04-11T01:57:31.000Z
KSC-20260411-KED01-0287  # 2026-04-11T01:58:05.000Z
KSC-20260411-KED01-0296  # 2026-04-11T01:59:50.000Z
KSC-20260411-KED01-0298  # 2026-04-11T01:59:55.000Z
KSC-20260411-KED01-0300  # 2026-04-11T02:00:06.000Z
KSC-20260411-KED01-0305  # 2026-04-11T02:01:34.000Z
KSC-20260411-KED01-0313  # 2026-04-11T02:03:22.000Z
KSC-20260411-KED01-0314  # 2026-04-11T02:03:24.000Z
KSC-20260411-KED01-0328  # 2026-04-11T02:06:58.000Z
KSC-20260411-KED01-0332  # 2026-04-11T02:08:46.000Z
KSC-20260411-KED01-0333  # 2026-04-11T02:10:04.000Z
KSC-20260411-KED01-0335  # 2026-04-11T02:10:06.000Z
KSC-20260411-KED01-0341  # 2026-04-11T02:15:01.000Z
KSC-20260411-KED01-0342  # 2026-04-11T02:15:33.000Z
KSC-20260411-KED01-0346  # 2026-04-11T02:18:56.000Z
KSC-20260411-KED01-0350  # 2026-04-11T02:21:04.000Z
KSC-20260411-KED01-0351  # 2026-04-11T02:21:42.000Z
KSC-20260411-KED01-0354  # 2026-04-11T02:23:15.000Z
KSC-20260411-KED01-0355  # 2026-04-11T02:25:06.000Z
KSC-20260411-KED01-0376  # 2026-04-11T02:30:57.000Z
KSC-20260411-KED01-0379  # 2026-04-11T02:31:03.000Z
KSC-20260411-KED01-0384  # 2026-04-11T02:31:04.000Z
KSC-20260411-KED01-0401  # 2026-04-11T02:31:50.000Z
KSC-20260411-KED01-0421  # 2026-04-11T02:32:57.000Z
KSC-20260411-KED01-0423  # 2026-04-11T02:32:58.000Z
KSC-20260411-KED01-0425  # 2026-04-11T02:33:00.000Z
KSC-20260411-KED01-0429  # 2026-04-11T02:33:10.000Z
KSC-20260411-KED01-0433  # 2026-04-11T02:33:18.000Z
KSC-20260411-KED01-0435  # 2026-04-11T02:33:18.000Z
KSC-20260411-KED01-0447  # 2026-04-11T02:33:25.000Z
KSC-20260411-KED01-0452  # 2026-04-11T02:34:12.000Z
KSC-20260411-KED01-0457  # 2026-04-11T02:34:22.000Z
KSC-20260411-KED01-0463  # 2026-04-11T02:34:29.000Z
KSC-20260411-KED01-0474  # 2026-04-11T02:34:38.000Z
KSC-20260411-KED01-0514  # 2026-04-11T02:36:03.000Z
KSC-20260411-KED01-0525  # 2026-04-11T02:36:13.000Z
KSC-20260411-KED01-0531  # 2026-04-11T02:37:06.000Z
KSC-20260411-KED01-0532  # 2026-04-11T02:37:32.000Z
KSC-20260411-KED01-0534  # 2026-04-11T02:37:34.000Z
